draws,player1,player1Wins,player2,player2Wins,round,tournamentDate
1,Tinu,1,Myri,1,1,2026-02-28T23:00:00Z
0,Dimlas,1,Joel K.,2,1,2026-02-28T23:00:00Z
0,Andrin,0,Thomas,2,1,2026-02-28T23:00:00Z
0,Noe T.,0,Valentin,2,1,2026-02-28T23:00:00Z
0,Beni,0,Sili,2,1,2026-02-28T23:00:00Z
0,Guy,2,Kas,0,1,2026-02-28T23:00:00Z
0,Guy,2,Sili,1,2,2026-02-28T23:00:00Z
0,Thomas,2,Valentin,0,2,2026-02-28T23:00:00Z
0,Joel K.,2,Myri,1,2,2026-02-28T23:00:00Z
0,Tinu,0,Dimlas,2,2,2026-02-28T23:00:00Z
0,Andrin,2,Beni,1,2,2026-02-28T23:00:00Z
0,Kas,2,Noe T.,0,2,2026-02-28T23:00:00Z
0,Thomas,2,Guy,0,3,2026-02-28T23:00:00Z
0,Joel K.,0,Sili,2,3,2026-02-28T23:00:00Z
0,Dimlas,2,Valentin,1,3,2026-02-28T23:00:00Z
0,Kas,0,Andrin,2,3,2026-02-28T23:00:00Z
0,Myri,1,Beni,2,3,2026-02-28T23:00:00Z
0,Tinu,2,Noe T.,0,3,2026-02-28T23:00:00Z
0,Thomas,1,Sili,2,4,2026-02-28T23:00:00Z
1,Guy,1,Andrin,1,4,2026-02-28T23:00:00Z
0,Joel K.,2,Tinu,0,4,2026-02-28T23:00:00Z
0,Dimlas,2,Beni,1,4,2026-02-28T23:00:00Z
1,Valentin,1,Kas,1,4,2026-02-28T23:00:00Z
0,Myri,2,Noe T.,1,4,2026-02-28T23:00:00Z
